epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,344.883,0.43152,0.9069,1.1411,0.4766,0.6673,0.58373,0.33576,1.08702,1.28126,1.16525,0.000333,0.000333,0.067033
2,687.509,0.3728,0.7904,1.08439,0.56156,0.65241,0.61156,0.53496,0.4012,0.84471,0.59427,0.000649841,0.000649841,0.0340165
3,1026.4,0.3263,0.74196,1.04965,0.63083,0.74247,0.73634,0.65675,0.30454,0.74435,0.49998,0.000950183,0.000950183,0.00098355
4,1363.94,0.27796,0.68349,1.01856,0.70319,0.75955,0.8095,0.75598,0.29509,0.545,0.51097,0.00092575,0.00092575,0.00092575
5,1700.32,0.24938,0.64427,0.99659,0.74842,0.74807,0.80067,0.76922,0.2867,0.579,0.50665,0.000901,0.000901,0.000901
6,2037.49,0.23814,0.61825,0.99125,0.74752,0.74568,0.8117,0.72146,0.32268,0.7379,0.4847,0.00087625,0.00087625,0.00087625
7,2373.17,0.22198,0.59109,0.97894,0.74455,0.78131,0.83334,0.8274,0.18171,0.48174,0.40137,0.0008515,0.0008515,0.0008515
8,2711.91,0.21204,0.57647,0.97274,0.82732,0.80628,0.88837,0.87884,0.17093,0.4475,0.40343,0.00082675,0.00082675,0.00082675
9,3365.33,0.20718,0.5629,0.9703,0.80715,0.79918,0.86274,0.80327,0.23026,0.59706,0.42534,0.000802,0.000802,0.000802
10,3706.2,0.19779,0.55111,0.96393,0.83984,0.82443,0.90214,0.83645,0.25954,0.49794,0.43194,0.00077725,0.00077725,0.00077725
11,4054.4,0.186,0.52905,0.95742,0.86305,0.83938,0.91047,0.88434,0.22719,0.42792,0.44595,0.0007525,0.0007525,0.0007525
12,4408.92,0.18328,0.5122,0.95421,0.856,0.8587,0.91734,0.8969,0.22259,0.36588,0.44501,0.00072775,0.00072775,0.00072775
13,4761.69,0.17861,0.50948,0.95196,0.85172,0.88357,0.92942,0.91295,0.17182,0.37557,0.39943,0.000703,0.000703,0.000703
14,5119.37,0.17439,0.49694,0.94896,0.88142,0.83488,0.9273,0.92448,0.17339,0.4115,0.40304,0.00067825,0.00067825,0.00067825
15,5473.9,0.16904,0.48556,0.94577,0.88706,0.84855,0.93029,0.92715,0.13922,0.42916,0.37,0.0006535,0.0006535,0.0006535
16,5811.85,0.16537,0.4779,0.94342,0.87546,0.8461,0.93064,0.92436,0.14337,0.3635,0.37049,0.00062875,0.00062875,0.00062875
17,6147.98,0.15981,0.47248,0.94018,0.90873,0.86486,0.94106,0.94023,0.14696,0.31153,0.37442,0.000604,0.000604,0.000604
18,6483.63,0.15839,0.45787,0.93904,0.89526,0.87243,0.94321,0.93078,0.16163,0.37387,0.37061,0.00057925,0.00057925,0.00057925
19,6818.09,0.15379,0.45575,0.93848,0.8817,0.88703,0.94873,0.94636,0.16629,0.35802,0.38893,0.0005545,0.0005545,0.0005545
20,7153.89,0.14898,0.43451,0.93434,0.91301,0.88467,0.95742,0.95397,0.17399,0.3376,0.4064,0.00052975,0.00052975,0.00052975
21,7490.97,0.14704,0.43897,0.93567,0.89444,0.89941,0.95387,0.9521,0.14889,0.33014,0.36579,0.000505,0.000505,0.000505
22,7827.12,0.14523,0.41941,0.93274,0.88339,0.89825,0.94494,0.93908,0.18922,0.39552,0.4192,0.00048025,0.00048025,0.00048025
23,8162.9,0.14072,0.4201,0.93128,0.92434,0.89356,0.96569,0.96464,0.11969,0.30271,0.34343,0.0004555,0.0004555,0.0004555
24,8499.92,0.13868,0.41057,0.92949,0.89183,0.91242,0.95636,0.95306,0.12636,0.30816,0.36606,0.00043075,0.00043075,0.00043075
25,8835.93,0.13652,0.40439,0.9279,0.92108,0.90269,0.96435,0.96141,0.1531,0.34393,0.38554,0.000406,0.000406,0.000406
26,9171.16,0.13356,0.40084,0.92834,0.90933,0.89372,0.95967,0.95789,0.15385,0.30358,0.39122,0.00038125,0.00038125,0.00038125
27,9507.15,inf,0.39294,0.92617,0.92592,0.91917,0.96681,0.9648,0.14012,0.28209,0.35453,0.0003565,0.0003565,0.0003565
28,9844.8,0.12727,0.38494,0.92384,0.92363,0.91006,0.96494,0.96332,0.14138,0.27549,0.37808,0.00033175,0.00033175,0.00033175
29,10181.5,0.12557,0.37509,0.92342,0.94183,0.90727,0.97041,0.96929,0.16658,0.26866,0.40029,0.000307,0.000307,0.000307
30,10517.9,0.12173,0.37309,0.92109,0.91766,0.92651,0.96873,0.96766,0.14226,0.2944,0.38686,0.00028225,0.00028225,0.00028225
31,10853.8,0.04394,0.20379,0.8857,0.93711,0.91347,0.96821,0.96821,0.13379,0.22761,0.32632,0.0002575,0.0002575,0.0002575
32,11189,0.04052,0.1863,0.88372,0.93979,0.91419,0.97029,0.97025,0.10939,0.21373,0.29401,0.00023275,0.00023275,0.00023275
33,11522,0.0376,0.17022,0.88034,0.93306,0.9168,0.97115,0.97114,0.11054,0.21258,0.29038,0.000208,0.000208,0.000208
34,11855.4,0.0328,0.15442,0.88092,0.93823,0.91399,0.97147,0.97142,0.09298,0.2075,0.27202,0.00018325,0.00018325,0.00018325
35,12188.8,inf,0.14503,0.87991,0.94536,0.91111,0.97152,0.97147,0.106,0.20961,0.28892,0.0001585,0.0001585,0.0001585
36,12521.6,0.03006,0.1385,0.87884,0.95763,0.89468,0.97093,0.97088,0.10153,0.21052,0.28228,0.00013375,0.00013375,0.00013375
37,12854.1,0.02884,0.12542,0.87963,0.93838,0.92354,0.97132,0.97126,0.09658,0.20704,0.27623,0.000109,0.000109,0.000109
38,13187,0.02623,0.11408,0.87678,0.94326,0.91983,0.97153,0.97142,0.09235,0.20914,0.27172,8.425e-05,8.425e-05,8.425e-05
39,13520.6,0.02431,0.10732,0.87969,0.94298,0.9185,0.97259,0.97255,0.0862,0.19916,0.26485,5.95e-05,5.95e-05,5.95e-05
40,13853.8,inf,0.09752,0.87928,0.94298,0.91585,0.97287,0.97287,0.08428,0.19997,0.26223,3.475e-05,3.475e-05,3.475e-05
